cep,logradouro,complemento,unidade,bairro,localidade,uf,estado,região,ibge,gia,ddd,siafi
57014-020,Rua Moacyr Miranda,,,Ponta Grossa,Maceió,AL,Alagoas,,2704302,,82,2785
57014-004,Rua Tiradentes,até 314/315,,Ponta Grossa,Maceió,AL,Alagoas,,2704302,,82,2785
57014-012,Rua São Luiz,até 393/394,,Ponta Grossa,Maceió,AL,Alagoas,,2704302,,82,2785
57014-002,Rua Virgílio Guedes,lado par,,Ponta Grossa,Maceió,AL,Alagoas,,2704302,,82,2785
57014-010,Rua Craveiro Costa,,,Ponta Grossa,Maceió,AL,Alagoas,,2704302,,82,2785
57014-080,Rua Guaicurus,,,Ponta Grossa,Maceió,AL,Alagoas,,2704302,,82,2785
57014-200,Rua Coronel Ulisses Luna,,,Ponta Grossa,Maceió,AL,Alagoas,,2704302,,82,2785
57014-140,Rua Doutor Baltazar de Mendonça,,,Ponta Grossa,Maceió,AL,Alagoas,,2704302,,82,2785
57014-212,Vila Laudiceia,,,Ponta Grossa,Maceió,AL,Alagoas,,2704302,,82,2785
57010-880,Rua Iracema Lessa de Andrade,,,Pontal da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57014-208,Rua Walberdson Douglas de Ferreira,lado ímpar,,Ponta Grossa,Maceió,AL,Alagoas,,2704302,,82,2785
57014-210,Avenida Professor Loureiro,até 235/236,,Ponta Grossa,Maceió,AL,Alagoas,,2704302,,82,2785
57014-070,Rua Marquês de Pombal,até 208/209,,Ponta Grossa,Maceió,AL,Alagoas,,2704302,,82,2785
57014-160,Rua Antônio Ferreira Barbosa,,,Ponta Grossa,Maceió,AL,Alagoas,,2704302,,82,2785
57014-006,Rua Santa Catarina,até 213/214,,Ponta Grossa,Maceió,AL,Alagoas,,2704302,,82,2785
57014-214,Vila Nazaré,,,Ponta Grossa,Maceió,AL,Alagoas,,2704302,,82,2785
57014-320,Praça Guedes Miranda,,,Ponta Grossa,Maceió,AL,Alagoas,,2704302,,82,2785
57014-422,Vila Saldanha,,,Ponta Grossa,Maceió,AL,Alagoas,,2704302,,82,2785
57014-452,Rua Manoel Lourenço,lado ímpar,,Ponta Grossa,Maceió,AL,Alagoas,,2704302,,82,2785
57014-405,Travessa Três de Maio,,,Ponta Grossa,Maceió,AL,Alagoas,,2704302,,82,2785
57014-230,Vila Dantas,,,Ponta Grossa,Maceió,AL,Alagoas,,2704302,,82,2785
57014-400,Rua Três de Maio,até 280/281,,Ponta Grossa,Maceió,AL,Alagoas,,2704302,,82,2785
57014-290,Rua Demócrito Gracindo,de 99/100 ao fim,,Ponta Grossa,Maceió,AL,Alagoas,,2704302,,82,2785
57014-500,Rua João José Ferreira,,,Ponta Grossa,Maceió,AL,Alagoas,,2704302,,82,2785
57010-865,2ª Travessa Alto da Floresta,,,Pontal da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-863,1ª Travessa Alto da Floresta,,,Pontal da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57014-508,Quadra 33,(Cj Joaquim Leão),,Ponta Grossa,Maceió,AL,Alagoas,,2704302,,82,2785
57014-506,Rua Projetada EF 990,(Cj Joaquim Leão),,Ponta Grossa,Maceió,AL,Alagoas,,2704302,,82,2785
